name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	24500	4	24504	0.27007
Tolumonas	43947	G	75	0	75	0.00083
Pseudaeromonas	1929090	G	27	0	27	0.00030
Pseudomonas	286	G	12431	6	12437	0.13708
Acinetobacter	469	G	2366	0	2366	0.02608
Psychrobacter	497	G	27	0	27	0.00030
Rahnella	34037	G	1445	3	1448	0.01596
Serratia	613	G	932	527	1459	0.01608
Yersinia	629	G	660	-18	642	0.00708
Gibbsiella	929812	G	62	-1	61	0.00067
Citrobacter	544	G	269	34	303	0.00334
Kluyvera	579	G	172	88	260	0.00287
Buttiauxella	82976	G	146	-56	90	0.00099
Pseudescherichia	2055880	G	131	-1	130	0.00143
Franconibacter	1649295	G	98	3	101	0.00111
Cronobacter	413496	G	93	21	114	0.00126
Klebsiella	570	G	71	30	101	0.00111
Edaphovirga	2678248	G	68	1	69	0.00076
Cedecea	158483	G	57	0	57	0.00063
Salmonella	590	G	56	-27	29	0.00032
Enterobacter	547	G	41	20	61	0.00067
Trabulsiella	158851	G	39	0	39	0.00043
Pluralibacter	1330546	G	13	0	13	0.00014
Shimwellia	1335483	G	13	4	17	0.00019
Lelliottia	1330545	G	12	144	156	0.00172
Kosakonia	1330547	G	12	0	12	0.00013
Erwinia	551	G	719	13	732	0.00807
Tatumella	82986	G	146	0	146	0.00161
Pantoea	53335	G	129	258	387	0.00427
Rosenbergiella	1356488	G	29	0	29	0.00032
Buchnera	32199	G	28	0	28	0.00031
Mixta	2100764	G	15	14	29	0.00032
Plesiomonas	702	G	672	0	672	0.00741
Brenneria	71655	G	151	0	151	0.00166
Pectobacterium	122277	G	143	12	155	0.00171
Dickeya	204037	G	27	0	27	0.00030
Providencia	586	G	41	-1	40	0.00044
Morganella	581	G	37	1	38	0.00042
Xenorhabdus	626	G	36	-6	30	0.00033
Photorhabdus	29487	G	20	0	20	0.00022
Proteus	583	G	17	0	17	0.00019
Budvicia	82978	G	13	-2	11	0.00012
