name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	56278	4	56282	0.38133
Pseudaeromonas	1929090	G	445	-3	442	0.00299
Tolumonas	43947	G	117	0	117	0.00079
Pararheinheimera	2071980	G	16736	0	16736	0.11339
Rheinheimera	67575	G	9649	-1	9648	0.06537
Arsukibacterium	336830	G	372	0	372	0.00252
Thiocystis	13724	G	157	-1	156	0.00106
Thiorhodococcus	57488	G	97	-67	30	0.00020
Marichromatium	85076	G	87	0	87	0.00059
Lamprocystis	53452	G	37	-2	35	0.00024
Imhoffiella	2018671	G	15	0	15	0.00010
Isochromatium	85077	G	15	0	15	0.00010
Nitrosococcus	1227	G	13	-1	12	0.00008
Allochromatium	85072	G	11	-1	10	0.00007
Thiocapsa	1056	G	10	-1	9	0.00006
Acinetobacter	469	G	15428	52	15480	0.10488
Alkanindiges	222991	G	240	-2	238	0.00161
Agitococcus	186829	G	104	0	104	0.00070
Moraxella	475	G	59	0	59	0.00040
Psychrobacter	497	G	59	-1	58	0.00039
Perlucidibaca	661182	G	12	0	12	0.00008
Cavicella	1930856	G	10	2	12	0.00008
Pseudomonas	286	G	12778	7	12785	0.08662
Rahnella	34037	G	2918	5	2923	0.01980
Serratia	613	G	1881	580	2461	0.01667
Yersinia	629	G	264	-12	252	0.00171
Gibbsiella	929812	G	201	0	201	0.00136
Citrobacter	544	G	512	74	586	0.00397
Kluyvera	579	G	397	452	849	0.00575
Edaphovirga	2678248	G	321	1	322	0.00218
Pseudescherichia	2055880	G	293	-1	292	0.00198
Buttiauxella	82976	G	246	-23	223	0.00151
Franconibacter	1649295	G	211	7	218	0.00148
Cronobacter	413496	G	209	79	288	0.00195
Klebsiella	570	G	159	73	232	0.00157
Enterobacter	547	G	119	62	181	0.00123
Cedecea	158483	G	117	0	117	0.00079
Salmonella	590	G	107	-45	62	0.00042
Trabulsiella	158851	G	99	0	99	0.00067
Pluralibacter	1330546	G	53	0	53	0.00036
Lelliottia	1330545	G	33	406	439	0.00297
Kosakonia	1330547	G	30	0	30	0.00020
Shimwellia	1335483	G	28	0	28	0.00019
Phytobacter	447792	G	23	0	23	0.00016
Siccibacter	1649298	G	17	0	17	0.00012
Escherichia	561	G	11	0	11	0.00007
Erwinia	551	G	937	1	938	0.00636
Pantoea	53335	G	250	955	1205	0.00816
Tatumella	82986	G	210	1	211	0.00143
