name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rahnella	34037	G	8818	25	8843	0.04600
Serratia	613	G	5648	1723	7371	0.03834
Yersinia	629	G	911	-21	890	0.00463
Gibbsiella	929812	G	819	-2	817	0.00425
Nissabacter	1964366	G	17	84	101	0.00053
Citrobacter	544	G	2007	307	2314	0.01204
Edaphovirga	2678248	G	1724	0	1724	0.00897
Kluyvera	579	G	1282	1210	2492	0.01296
Pseudescherichia	2055880	G	1049	-1	1048	0.00545
Buttiauxella	82976	G	997	-124	873	0.00454
Cronobacter	413496	G	708	168	876	0.00456
Franconibacter	1649295	G	694	23	717	0.00373
Klebsiella	570	G	449	256	705	0.00367
Cedecea	158483	G	369	0	369	0.00192
Enterobacter	547	G	367	231	598	0.00311
Salmonella	590	G	295	-135	160	0.00083
Trabulsiella	158851	G	288	1	289	0.00150
Pluralibacter	1330546	G	155	0	155	0.00081
Lelliottia	1330545	G	110	1775	1885	0.00981
Kosakonia	1330547	G	92	0	92	0.00048
Phytobacter	447792	G	77	0	77	0.00040
Shimwellia	1335483	G	66	-1	65	0.00034
Escherichia	561	G	21	0	21	0.00011
Siccibacter	1649298	G	17	0	17	0.00009
Mangrovibacter	451512	G	16	0	16	0.00008
Pseudocitrobacter	1504576	G	13	0	13	0.00007
Erwinia	551	G	3347	1	3348	0.01742
Tatumella	82986	G	1065	11	1076	0.00560
Pantoea	53335	G	893	1794	2687	0.01398
Rosenbergiella	1356488	G	224	-12	212	0.00110
Buchnera	32199	G	214	0	214	0.00111
Mixta	2100764	G	79	17	96	0.00050
Izhakiella	1780190	G	41	-41	0	0.00000
Phaseolibacter	1297562	G	11	0	11	0.00006
Brenneria	71655	G	1109	-6	1103	0.00574
Pectobacterium	122277	G	697	25	722	0.00376
Dickeya	204037	G	260	0	260	0.00135
Lonsdalea	1082702	G	32	14	46	0.00024
Samsonia	160433	G	19	0	19	0.00010
Plesiomonas	702	G	1399	0	1399	0.00728
Xenorhabdus	626	G	411	-1	410	0.00213
Providencia	586	G	276	-1	275	0.00143
Morganella	581	G	235	-1	234	0.00122
Photorhabdus	29487	G	132	0	132	0.00069
Proteus	583	G	126	0	126	0.00066
Arsenophonus	637	G	26	0	26	0.00014
Obesumbacterium	82982	G	12	522	534	0.00278
Edwardsiella	635	G	10	-10	0	0.00000
Pragia	82984	G	64	0	64	0.00033
Budvicia	82978	G	16	-5	11	0.00006
Thorsellia	336803	G	27	0	27	0.00014
Coetzeea	1903479	G	15	0	15	0.00008
Biostraticola	466108	G	38	0	38	0.00020
Pararheinheimera	2071980	G	22969	0	22969	0.11949
Rheinheimera	67575	G	17296	-1	17295	0.08997
Arsukibacterium	336830	G	594	0	594	0.00309
Thiocystis	13724	G	216	0	216	0.00112
Thiorhodococcus	57488	G	136	-99	37	0.00019
Marichromatium	85076	G	91	0	91	0.00047
Isochromatium	85077	G	16	0	16	0.00008
Nitrosococcus	1227	G	16	-1	15	0.00008
Allochromatium	85072	G	14	0	14	0.00007
Lamprocystis	53452	G	11	-2	9	0.00005
Aeromonas	642	G	42709	8	42717	0.22222
Pseudaeromonas	1929090	G	146	-2	144	0.00075
Tolumonas	43947	G	35	-1	34	0.00018
Pseudomonas	286	G	21314	7	21321	0.11091
Acinetobacter	469	G	12931	21	12952	0.06738
Alkanindiges	222991	G	42	0	42	0.00022
Psychrobacter	497	G	32	-1	31	0.00016
Moraxella	475	G	14	0	14	0.00007
Stenotrophomonas	40323	G	204	12	216	0.00112
Silanimonas	292713	G	152	-17	135	0.00070
Arenimonas	490567	G	57	-2	55	0.00029
Lysobacter	68	G	46	-7	39	0.00020
Pseudoxanthomonas	83618	G	11	-1	10	0.00005
Tahibacter	1453544	G	73	0	73	0.00038
Pseudoalteromonas	53246	G	97	0	97	0.00050
Shewanella	22	G	50	0	50	0.00026
Alishewanella	111142	G	12	0	12	0.00006
Marinobacterium	48075	G	27	0	27	0.00014
Neptunomonas	75687	G	16	-1	15	0.00008
Halomonas	2745	G	21	-1	20	0.00010
Cellvibrio	10	G	69	0	69	0.00036
Haliea	475794	G	10	0	10	0.00005
Vibrio	662	G	58	0	58	0.00030
Salinivibrio	51366	G	18	-2	16	0.00008
Photobacterium	657	G	12	-1	11	0.00006
Legionella	445	G	64	-1	63	0.00033
Gallaecimonas	745410	G	35	0	35	0.00018
Ignatzschineria	112008	G	16	-16	0	0.00000
Thiomicrospira	933	G	11	-7	4	0.00002
Ursidibacter	1855419	G	15	1	16	0.00008
Comamonas	283	G	1142	3	1145	0.00596
Polaromonas	52972	G	978	0	978	0.00509
Acidovorax	12916	G	834	0	834	0.00434
Hydrogenophaga	47420	G	534	-1	533	0.00277
Rhodoferax	28065	G	269	0	269	0.00140
Limnohabitans	665874	G	250	-12	238	0.00124
Caenimonas	763439	G	69	0	69	0.00036
Delftia	80865	G	52	69	121	0.00063
Giesbergeria	352449	G	47	-1	46	0.00024
Ottowia	219181	G	45	-5	40	0.00021
Kinneretia	683756	G	30	0	30	0.00016
Pseudacidovorax	433923	G	28	0	28	0.00015
Lampropedia	198705	G	26	0	26	0.00014
Simplicispira	352450	G	25	0	25	0.00013
Variovorax	34072	G	23	13	36	0.00019
Ramlibacter	174951	G	22	-3	19	0.00010
Extensimonas	1434001	G	21	0	21	0.00011
Diaphorobacter	238749	G	19	2	21	0.00011
Curvibacter	281915	G	17	39	56	0.00029
Pelomonas	335058	G	14	157	171	0.00089
Pseudorhodoferax	747294	G	13	0	13	0.00007
Verminephrobacter	364316	G	13	-6	7	0.00004
Paucibacter	318147	G	1273	-60	1213	0.00631
Aquabacterium	92793	G	229	-8	221	0.00115
Rhizobacter	212743	G	150	72	222	0.00115
Ideonella	36862	G	136	-53	83	0.00043
Inhella	644355	G	58	0	58	0.00030
Piscinibacterium	2066914	G	40	0	40	0.00021
Sphaerotilus	34102	G	32	-5	27	0.00014
