name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Polaromonas vacuolata	37448	S	6820	0	6820	0.12254
Polaromonas naphthalenivorans	216465	S	2393	2638	5031	0.09040
Polaromonas hydrogenivorans	335476	S	837	0	837	0.01504
Polaromonas glacialis	866564	S	178	0	178	0.00320
Polaromonas eurypsychrophila	1614635	S	63	0	63	0.00113
Variovorax soli	376815	S	3821	841	4662	0.08377
Variovorax paradoxus	34073	S	37	0	37	0.00066
Variovorax boronicumulans	436515	S	14	248	262	0.00471
Variovorax defluvii	913761	S	11	441	452	0.00812
Comamonas badia	265291	S	2113	0	2113	0.03797
Comamonas kerstersii	225992	S	113	0	113	0.00203
Comamonas terrae	673548	S	109	0	109	0.00196
Comamonas terrigena	32013	S	30	21	51	0.00092
Comamonas aquatica	225991	S	15	0	15	0.00027
Comamonas denitrificans	117506	S	10	0	10	0.00018
Acidovorax anthurii	78229	S	398	0	398	0.00715
Acidovorax facilis	12917	S	22	0	22	0.00040
Acidovorax konjaci	32040	S	14	0	14	0.00025
Hydrogenophaga intermedia	65786	S	111	14	125	0.00225
Hydrogenophaga caeni	370976	S	46	0	46	0.00083
Hydrogenophaga flava	65657	S	20	6	26	0.00047
Hydrogenophaga luteola	1591122	S	16	0	16	0.00029
Caenimonas koreensis	367474	S	176	0	176	0.00316
Ottowia thiooxydans	219182	S	32	0	32	0.00057
Ottowia flava	2675430	S	11	0	11	0.00020
Simplicispira soli	2083185	S	27	0	27	0.00049
Rhodoferax fermentans	28066	S	33	0	33	0.00059
Rhodoferax ferrireducens	192843	S	30	0	30	0.00054
Giesbergeria voronezhensis	314200	S	48	0	48	0.00086
Verminephrobacter aporrectodeae	1110389	S	40	-40	0	0.00000
Verminephrobacter eiseniae	364317	S	14	0	14	0.00025
Ramlibacter solisilvae	1349425	S	39	0	39	0.00070
Curvibacter fontanus	247486	S	22	0	22	0.00040
Curvibacter delicatus	80879	S	12	13	25	0.00045
Delftia acidovorans	80866	S	17	0	17	0.00031
Pelomonas saccharophila	304	S	26	144	170	0.00305
Extensimonas vulgaris	1031594	S	18	0	18	0.00032
Brachymonas chironomi	491919	S	13	0	13	0.00023
Massilia aurea	373040	S	2595	0	2595	0.04663
Massilia haematophila	457923	S	165	0	165	0.00296
Massilia yuzhufengensis	1164594	S	71	0	71	0.00128
Massilia phosphatilytica	2026176	S	59	0	59	0.00106
Massilia brevitalea	442526	S	51	0	51	0.00092
Massilia alkalitolerans	286638	S	41	0	41	0.00074
Massilia glaciei	1524097	S	40	0	40	0.00072
Massilia tieshanensis	796007	S	25	0	25	0.00045
Massilia buxea	1949069	S	24	0	24	0.00043
Massilia pinisoli	1772194	S	24	0	24	0.00043
Massilia niabensis	544910	S	21	0	21	0.00038
Massilia eurypsychrophila	1485217	S	15	0	15	0.00027
'Massilia aquatica' Lu et al. 2020	2660641	S	12	407	419	0.00753
Noviherbaspirillum suwonense	1224511	S	461	0	461	0.00828
Noviherbaspirillum canariense	1064516	S	410	0	410	0.00737
Noviherbaspirillum soli	1064518	S	41	116	157	0.00282
Noviherbaspirillum humi	1688639	S	27	0	27	0.00049
Duganella zoogloeoides	75659	S	71	0	71	0.00128
Duganella ginsengisoli	1462440	S	44	0	44	0.00079
Undibacterium amnicola	1834038	S	42	0	42	0.00075
Herbaspirillum huttiense	863372	S	14	0	14	0.00025
Glaciimonas frigoris	1245754	S	16	0	16	0.00029
Actimicrobium antarcticum	1051899	S	17	0	17	0.00031
Hydromonas duriensis	1527608	S	145	0	145	0.00261
Cupriavidus basilensis	68895	S	75	0	75	0.00135
Pandoraea norimbergensis	93219	S	79	0	79	0.00142
